metric,value
completeness,0.9999074074074074
bias_nt,3.0210049905033465
mae_nt,9.993486947026735
rmse_nt,49.444551202893145
median_abs_error_nt,1.5119031192734838
p95_abs_error_nt,18.038170466462145
quiet_rms_nt,3.2514957114702514
quiet_mae_nt,2.1904812958166437
active_fraction,0.03709490740740741
storm_fraction,0.02726851851851852
anomaly_fraction,0.0005555555555555556
reference_coverage,0.9999074074074074
kp_coverage,0.9999074074074074
dst_coverage,0.0
analysis_seconds,0.19169081200379878
analysis_samples_per_second,450684.09433357685
realtime_factor,27041045.66001461
active_precision,0.9438377535101404
active_recall,0.28014447119837005
active_f1,0.43205027494108406
active_false_alarm_rate,0.0023811413604254306
storm_precision,0.9040747028862479
storm_recall,0.5634920634920635
storm_f1,0.6942633637548892
storm_false_alarm_rate,0.0027356800464823513
active_event_precision,0.15789473684210525
active_event_recall,0.3157894736842105
active_event_f1,0.21052631578947367
active_event_mean_abs_onset_latency_s,29220.0
storm_event_precision,0.14285714285714285
storm_event_recall,0.5
storm_event_f1,0.22222222222222224
storm_event_mean_abs_onset_latency_s,36140.0
