model,split,mae,rmse,mae_persistence,mae_seasonal
tiny,1,0.6439270516236623,0.7783322241948071,1.4791666666666667,1.258333333333333
tiny,2,1.3835697372754414,1.6816251326466785,2.15,1.633333333333333
tiny,3,0.6686704158782959,0.8063841062065226,0.9624999999999999,2.0708333333333333
tiny,4,0.9989662528038025,1.100540368391882,1.7083333333333333,0.975
tiny,5,0.5255853414535524,0.647634888071477,0.9416666666666668,0.8166666666666668
tiny,6,1.6922940413157146,1.8900779593385677,0.8125,0.7666666666666667
tiny,7,1.5242985288302104,1.8464705310090452,1.3500000000000003,0.9958333333333332
tiny,8,1.012871273358663,1.2313026715378441,0.8916666666666666,1.0374999999999999
tiny,9,0.8388173023859661,0.9427536565105132,0.7541666666666665,0.8250000000000002
tiny,10,0.8777143239974977,1.1555263599850991,0.9125000000000001,0.8750000000000001
mini,1,0.5289789199829101,0.6092420928673771,1.4791666666666667,1.258333333333333
mini,2,1.3771045049031574,1.7937535505099111,2.15,1.633333333333333
mini,3,0.9520590861638386,1.132595700844316,0.9624999999999999,2.0708333333333333
mini,4,0.7783843596776325,0.8574661450573766,1.7083333333333333,0.975
mini,5,0.6353891571362813,0.7547615368279482,0.9416666666666668,0.8166666666666668
mini,6,1.4346852699915569,1.5567990499859239,0.8125,0.7666666666666667
mini,7,1.2500730077425641,1.578234991062517,1.3500000000000003,0.9958333333333332
mini,8,0.9818501710891724,1.243922147360186,0.8916666666666666,1.0374999999999999
mini,9,1.2586390574773152,1.421201843674853,0.7541666666666665,0.8250000000000002
mini,10,0.975581963857015,1.2756049419127091,0.9125000000000001,0.8750000000000001
small,1,0.7910224596659342,1.0029242351996654,1.4791666666666667,1.258333333333333
small,2,1.384390978018443,1.6649430905119151,2.15,1.633333333333333
small,3,0.9687938610712687,1.1283265639784834,0.9624999999999999,2.0708333333333333
small,4,1.3617083946863808,1.473251747042379,1.7083333333333333,0.975
small,5,0.5090678056081136,0.7185661412720523,0.9416666666666668,0.8166666666666668
small,6,1.3039191961288452,1.4563889548327424,0.8125,0.7666666666666667
small,7,1.8433427373568216,2.260185275344678,1.3500000000000003,0.9958333333333332
small,8,1.8633955200513206,2.042033400068537,0.8916666666666666,1.0374999999999999
small,9,1.2274084091186523,1.406057649647184,0.7541666666666665,0.8250000000000002
small,10,1.2646064360936482,1.5757374922365732,0.9125000000000001,0.8750000000000001
base,1,0.7895499944686889,1.0304168667717817,1.4791666666666667,1.258333333333333
base,2,1.7537293016910551,2.4247372163929883,2.15,1.633333333333333
base,3,0.7614698290824892,0.9801976926854394,0.9624999999999999,2.0708333333333333
base,4,0.8151018063227334,0.959111845553066,1.7083333333333333,0.975
base,5,0.4689184705416361,0.6022195531122578,0.9416666666666668,0.8166666666666668
base,6,1.0750787456830342,1.2659191144743644,0.8125,0.7666666666666667
base,7,1.2017688592274984,1.4062829792151132,1.3500000000000003,0.9958333333333332
base,8,0.65398477713267,0.8664627926597982,0.8916666666666666,1.0374999999999999
base,9,1.0103197097778323,1.1357826736913543,0.7541666666666665,0.8250000000000002
base,10,1.0137362321217855,1.3337148192892119,0.9125000000000001,0.8750000000000001
large,1,1.5448198934396107,1.7208506417213827,1.4791666666666667,1.258333333333333
large,2,1.590490182240804,2.0855667373544327,2.15,1.633333333333333
large,3,1.7415277083714802,2.0535539343968527,0.9624999999999999,2.0708333333333333
large,4,1.9920617262522378,2.140656405128062,1.7083333333333333,0.975
large,5,1.2196198225021362,1.4475094217573294,0.9416666666666668,0.8166666666666668
large,6,0.9057367642720541,1.0456248031391073,0.8125,0.7666666666666667
large,7,1.5400088191032413,1.9889020289848376,1.3500000000000003,0.9958333333333332
large,8,0.6023550987243653,0.8054067686340124,0.8916666666666666,1.0374999999999999
large,9,0.6843053499857586,0.7964016655211816,0.7541666666666665,0.8250000000000002
large,10,1.033905053138733,1.3075569258248956,0.9125000000000001,0.8750000000000001
ensemble,1,0.7241753657658895,0.974795136909204,1.4791666666666667,1.258333333333333
ensemble,2,1.8344181219736733,2.462788106324757,2.15,1.633333333333333
ensemble,3,1.1587900241216025,1.4281064973485065,0.9624999999999999,2.0708333333333333
ensemble,4,1.0302941719690957,1.1213194369704294,1.7083333333333333,0.975
ensemble,5,0.5422162055969239,0.7204374590735295,0.9416666666666668,0.8166666666666668
ensemble,6,1.0894630352656047,1.2669140883088614,0.8125,0.7666666666666667
ensemble,7,1.4246069709459943,1.7803328109073007,1.3500000000000003,0.9958333333333332
ensemble,8,1.057573930422465,1.2933739445515824,0.8916666666666666,1.0374999999999999
ensemble,9,1.1481350739796958,1.3226202390948716,0.7541666666666665,0.8250000000000002
ensemble,10,1.0653395652770996,1.383405079227545,0.9125000000000001,0.8750000000000001
